serial_number,thumbprint,subject_cn,issuer_cn,Reason
D0B094274C761F367A8EAEA08E1D9C8F,E94A9D81C4A67EF953FDB27AAD6EC8FA347E6903B140D21468066BDCA8925BC5,Nsasoft US LLC,Sectigo RSA Code Signing CA,ModiLoader
D59A05955A4A421500F9561CE983AAC4,7F56555AC8479D4E130A89E787B7FF2F47005CC02776CF7A30A58611748C4C2E,Olymp LLC,Sectigo RSA Code Signing CA,Quakbot
35590EBE4A02DC23317D8CE47A947A9B,D9B60A67CF3C8964BE1E691D22B97932D40437BFEAD97A84C1350A2C57914F28,OOO Largos,Sectigo RSA Code Signing CA,Quakbot
1F23F001458716D435CCA1A55D660EC5,934D9357B6FB96F7FB8C461DD86824B3EED5F44A65C10383FE0BE742C8C9B60E,OOO Ringen,Sectigo RSA Code Signing CA,Quakbot
C2FC83D458E653837FCFC132C9B03062,82294A7EFA5208EB2344DB420B9AEFF317337A073C1A6B41B39DDA549A94557E,OOO Vertical,Sectigo RSA Code Signing CA,Quakbot
4B03CABE6A0481F17A2DBEB9AEFAD425,2E86CB95AA7E4C1F396E236B41BB184787274BB286909B60790B98F713B58777,RASSVET,Sectigo RSA Code Signing CA,Quakbot
539015999E304A5952985A994F9C3A53,7731825AEA38CFC77BA039A74417DD211ABEF2E16094072D8C2384AF1093F575,Service lab LLC,Sectigo RSA Code Signing CA,Quakbot
016836311FC39FBB8E6F308BB03CC2B3,CAB373E2D4672BEACF4CA9C9BAF75A2182A106CCA5EA32F2FC2295848771A979,SERVICE STREAM LIMITED,Sectigo RSA Code Signing CA,Quakbot
9BD81A9ADAF71F1FF081C1F4A05D7FD7,885B9F1306850A87598E5230FCAE71282042B74E8A14CABB0A904C559B506ACB,SMART TOYS AND GAMES,Sectigo RSA Code Signing CA,Quakbot
082023879112289BF351D297CC8EFCFC,0EB3382177F26E122E44DDD74DF262A45EBE8261029BC21B411958A07B06278A,STA-R TOV,DigiCert EV Code Signing CA ,TrickBot
ECE6CBF67DC41635A5E5D075F286AF23,F1F83C96AB00DCB70C0231D946B6FBD6A01E2C94E8F9F30352BBE50E89A9A51C,THRANE AGENTUR ApS,Sectigo RSA Code Signing CA,RemoteManipulator
5FB6BAE8834EDD8D3D58818EDC86D7D7,026868BBC22C6A37094851E0C6F372DA90A8776B01F024BADB03033706828088,Tramplink LLC,Sectigo RSA Code Signing CA,Various malware
6E0CCBDFB4777E10EA6221B90DC350C2,367B3092FBCD132EFDBEBABDC7240E29E3C91366F78137A27177315D32A926B9,TRAUMALAB INTERNATIONAL APS,Sectigo RSA Code Signing CA,Quakbot
1249AA2ADA4967969B71CE63BF187C38,C139076033E8391C85BA05508C4017736A8A7D9C1350E6B5996DD94B374F403C,Umbrella LLC,Sectigo RSA Code Signing CA,Quakbot
2DCD0699DA08915DDE6D044CB474157C,13BF3156E66A57D413455973866102B0A1F6D45A1E6DE050CA9DCF16ECAFB4E2,VENTE DE TOUT,Sectigo RSA Code Signing CA,CobaltStrike
8D52FB12A2511E86BBB0BA75C517EAB0,9E918CE337AEBB755E23885D928E1A67ECA6823934935010E82B561B928DF2F9,VThink Software Consulting Inc.,Sectigo RSA Code Signing CA,ParallaxRAT
B1AEA98BF0CE789B6C952310F14EDDE0,28324A9746EDBDB41C9579032D6EB6AB4FD3E0906F250D4858CE9C5FE5E97469,Absolut LLC,Sectigo RSA Code Signing CA,BazaLoader
F097E59809AE2E771B7B9AE5FC3408D7,22AD7DF275C8B5036EA05B95CE5DA768049BD2B21993549EED3A8A5ADA990B1E,ABEL RENOVATIONS,Sectigo RSA Code Signing CA,Quakbot
51CD5393514F7ACE2B407C3DBFB09D8D,D497A1698F4B9A558DED6CFD8BC4B1D881EEB3C04F349B215FFA89946F63C7F0,APPI CZ a.s,Sectigo RSA Code Signing CA,Quakbot
